revision,dirty,build_type,cmake_version,host,os,cpu,c_compiler,c_compiler_id,c_compiler_version,c_flags,cxx_compiler,cxx_compiler_id,cxx_compiler_version,cxx_flags,workload_id,workload_size,expected_outcome,strategy,sample_index,equivalence_status,failure_atomic,emitted_source_bytes,emission_time_ns,c_compile_time_ns,executable_bytes,execution_time_ns,emission_peak_kib,compile_peak_kib,execution_peak_kib
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_bool,1,success,hybrid,1,byte_equivalent,true,240,1626900,218680388,16088,1437730,4204,24872,1516
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_bool,1,success,hybrid,2,byte_equivalent,true,240,1668638,217439043,16088,1140577,4172,24924,1516
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_bool,1,success,hybrid,3,byte_equivalent,true,240,1550919,216305198,16088,1211530,4168,25016,1516
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_bool,1,success,hybrid,4,byte_equivalent,true,240,1524320,216880697,16088,1204566,4060,24944,1516
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_bool,1,success,hybrid,5,byte_equivalent,true,240,1583419,214813538,16088,1226256,4100,24948,1512
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_int,1,success,constants,1,byte_equivalent,true,256,1538487,206943888,16088,1205538,4212,24964,1580
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_int,1,success,constants,2,byte_equivalent,true,256,1574223,204260767,16088,1126522,4116,24940,1516
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_int,1,success,constants,3,byte_equivalent,true,256,1569273,216350913,16088,1135127,4124,24944,1516
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_int,1,success,constants,4,byte_equivalent,true,256,1559956,206959948,16088,1297890,4144,25008,1580
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_int,1,success,constants,5,byte_equivalent,true,256,1571308,212917089,16088,1186052,4168,24928,1516
